PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Gyr_X,Gyr_Y,Gyr_Z
210,196339778,-77.725975,-3.633134,-135.603134,-0.053974,0.060744,0.043781,-0.017199,-0.008836,-0.023564
211,196356445,-77.731682,-3.633063,-135.599823,-0.036112,0.057878,0.049635,0.106568,-0.090285,0.000980
212,196373112,-77.730896,-3.632667,-135.600723,-0.053452,0.054824,0.048152,0.489311,0.006717,0.001274
213,196389779,-77.730309,-3.632453,-135.599655,-0.038740,0.047758,0.038698,0.481436,-0.048024,0.001057
214,196406446,-77.730431,-3.633906,-135.598236,-0.038519,0.066776,0.037465,0.438342,-0.042696,-0.103578
215,196423113,-77.733894,-3.635418,-135.596954,-0.034568,0.045899,0.039793,0.236424,-0.030133,-0.111441
216,196439780,-77.738708,-3.635213,-135.597900,-0.034655,0.062576,0.045145,0.153362,0.025030,-0.016520
217,196456447,-77.742447,-3.635216,-135.599579,-0.057045,0.048871,0.042588,0.223746,-0.026791,-0.016264
218,196473114,-77.739647,-3.634650,-135.600082,-0.040726,0.070303,0.031701,0.609973,0.048619,0.000327
219,196489781,-77.733582,-3.635131,-135.600769,-0.041122,0.041259,0.035753,0.810456,0.000083,-0.054363
220,196506448,-77.727936,-3.635165,-135.601578,-0.038933,0.043297,0.042782,0.785548,-0.008964,-0.023666
221,196523115,-77.728416,-3.633675,-135.601501,-0.044631,0.044359,0.030440,0.420132,-0.019107,0.072606
222,196539782,-77.735191,-3.633770,-135.602234,-0.046055,0.057785,0.044229,0.044867,-0.073073,-0.011513
223,196556449,-77.741371,-3.634331,-135.601944,-0.058862,0.050910,0.062053,0.081442,-0.078746,-0.040942
224,196573116,-77.739647,-3.633433,-135.600662,-0.048156,0.046696,0.038569,0.554509,-0.030121,0.036248
225,196589783,-77.734398,-3.632716,-135.601913,-0.050891,0.052712,0.032807,0.759948,0.066279,0.005026
226,196606450,-77.731857,-3.631963,-135.601273,-0.032662,0.046823,0.045131,0.598998,0.048863,0.008689
227,196623117,-77.734108,-3.631936,-135.602036,-0.022317,0.058944,0.045954,0.312136,0.026669,-0.027713
228,196639784,-77.739967,-3.632290,-135.602112,-0.048855,0.051372,0.031106,0.100293,-0.036613,-0.037471
229,196656451,-77.748421,-3.632080,-135.603104,-0.049306,0.051139,0.039464,-0.057757,0.001197,-0.010322
230,196673118,-77.749603,-3.632306,-135.601425,-0.056156,0.064220,0.032220,0.384069,-0.060920,-0.025984
231,196689785,-77.743744,-3.632704,-135.602982,-0.045672,0.056470,0.041572,0.799238,0.039834,-0.055720
232,196706452,-77.738121,-3.632433,-135.603271,-0.041122,0.040223,0.048690,0.788596,0.012890,-0.011795
233,196723119,-77.738907,-3.632956,-135.602371,-0.025837,0.042471,0.039649,0.406339,-0.022885,-0.051827
234,196739786,-77.744301,-3.633709,-135.602921,-0.042679,0.060852,0.034605,0.130055,-0.059101,-0.057321
235,196756453,-77.744247,-3.635024,-135.604660,-0.054855,0.062035,0.046539,0.454299,0.006320,-0.107228
236,196773120,-77.739517,-3.635272,-135.603577,-0.045530,0.053263,0.051304,0.738100,-0.038163,-0.032810
237,196789787,-77.734062,-3.634737,-135.604156,-0.033163,0.044203,0.051082,0.781194,-0.015419,0.010072
238,196806454,-77.737442,-3.634438,-135.603821,-0.034719,0.040956,0.042465,0.252189,-0.026637,-0.001780
239,196823121,-77.747292,-3.634987,-135.604553,-0.031195,0.049633,0.056701,-0.136823,-0.027482,-0.051430
240,196839788,-77.754608,-3.634987,-135.604065,-0.047985,0.056102,0.036227,0.013607,-0.021579,-0.021860
241,196856455,-77.752876,-3.634814,-135.604706,-0.053912,0.059296,0.031379,0.558530,-0.022424,-0.009361
242,196873122,-77.747322,-3.635066,-135.605026,-0.040471,0.044001,0.040425,0.787943,-0.033770,-0.033232
